============================================================
RUN    : 8level-weight-ste-baseline-150ep_act-ste_wgt-ste_lr1e-3_nosched
OUTPUT : experiments/8level-weight-ste-baseline-150ep_act-ste_wgt-ste_lr1e-3_nosched
Device : cuda:0
Start  : 8level_act_clip1_best.pth
Quant  : input=True  act=True  weights=True
Grad   : act=ste  weight=ste
Clip   : act=1.0  weight=1.0
LR=0.001  Epochs=150  Scheduler=False
Missing keys (new layers): 19
============================================================
 Epoch   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
------------------------------------------------------------
     1     68.23%      0.9161    73.80%    0.7685   0.001000  ← best
     2     76.18%      0.6853    74.21%    0.7508   0.001000  ← best
     3     77.98%      0.6293    76.85%    0.6666   0.001000  ← best
     4     79.15%      0.5981    77.51%    0.6672   0.001000  ← best
     5     79.71%      0.5816    76.71%    0.6905   0.001000
     6     80.44%      0.5622    78.69%    0.6224   0.001000  ← best
     7     81.03%      0.5471    77.70%    0.6531   0.001000
     8     81.25%      0.5360    77.22%    0.6733   0.001000
     9     81.74%      0.5261    78.23%    0.6422   0.001000
    10     81.98%      0.5191    79.73%    0.5970   0.001000  ← best
    11     82.15%      0.5100    80.17%    0.5984   0.001000  ← best
    12     82.26%      0.5092    78.25%    0.6486   0.001000
    13     82.48%      0.5038    79.27%    0.6215   0.001000
    14     82.71%      0.4973    81.33%    0.5563   0.001000  ← best
    15     82.81%      0.4916    79.19%    0.6147   0.001000
    16     83.00%      0.4854    80.39%    0.5732   0.001000
    17     83.11%      0.4848    79.72%    0.5975   0.001000
    18     83.47%      0.4760    80.98%    0.5598   0.001000
    19     83.38%      0.4758    79.54%    0.6146   0.001000
    20     83.60%      0.4732    79.99%    0.6032   0.001000
    21     83.89%      0.4658    79.73%    0.6118   0.001000
    22     83.74%      0.4690    76.45%    0.7533   0.001000
    23     83.81%      0.4667    77.10%    0.7098   0.001000
    24     83.61%      0.4652    79.64%    0.6080   0.001000
    25     84.02%      0.4592    80.67%    0.5717   0.001000
    26     84.06%      0.4584    80.02%    0.6050   0.001000
    27     84.15%      0.4539    80.93%    0.5869   0.001000
    28     84.19%      0.4524    77.97%    0.7102   0.001000
    29     84.52%      0.4443    79.85%    0.6222   0.001000
    30     84.44%      0.4473    81.00%    0.5781   0.001000
    31     84.46%      0.4468    78.06%    0.6649   0.001000
    32     84.41%      0.4466    79.87%    0.6016   0.001000
    33     84.63%      0.4386    80.31%    0.6049   0.001000
    34     84.71%      0.4391    80.68%    0.5913   0.001000
    35     84.60%      0.4410    76.61%    0.7265   0.001000
    36     84.62%      0.4384    78.04%    0.6629   0.001000
    37     84.80%      0.4399    79.69%    0.6066   0.001000
    38     84.85%      0.4345    80.47%    0.5993   0.001000
    39     84.76%      0.4329    79.93%    0.6046   0.001000
    40     85.01%      0.4299    78.48%    0.6325   0.001000
    41     84.96%      0.4289    80.15%    0.5951   0.001000
    42     85.09%      0.4301    80.39%    0.6010   0.001000
    43     85.12%      0.4254    78.07%    0.6748   0.001000
    44     85.24%      0.4259    79.48%    0.6324   0.001000
    45     85.19%      0.4236    79.92%    0.5963   0.001000
    46     85.02%      0.4261    81.19%    0.5686   0.001000
    47     85.32%      0.4230    79.38%    0.6284   0.001000
    48     85.24%      0.4240    79.56%    0.6332   0.001000
    49     85.33%      0.4199    80.93%    0.5788   0.001000
    50     85.28%      0.4210    82.13%    0.5440   0.001000  ← best
    51     85.26%      0.4171    80.30%    0.6089   0.001000
    52     85.32%      0.4183    81.09%    0.5749   0.001000
    53     85.56%      0.4164    79.18%    0.6409   0.001000
    54     85.39%      0.4182    78.55%    0.6298   0.001000
    55     85.51%      0.4144    79.62%    0.6246   0.001000
    56     85.60%      0.4122    81.62%    0.5614   0.001000
    57     85.64%      0.4129    77.02%    0.7137   0.001000
    58     85.60%      0.4107    78.84%    0.6515   0.001000
    59     85.87%      0.4081    79.92%    0.6151   0.001000
    60     85.89%      0.4046    80.66%    0.6098   0.001000
    61     85.93%      0.4079    81.33%    0.5711   0.001000
    62     85.70%      0.4067    80.31%    0.5998   0.001000
    63     85.78%      0.4075    80.82%    0.5990   0.001000
    64     85.69%      0.4073    71.77%    0.9679   0.001000
    65     85.72%      0.4036    80.96%    0.5851   0.001000
    66     85.95%      0.4033    78.23%    0.6886   0.001000
    67     85.89%      0.4062    75.14%    0.8149   0.001000
    68     85.83%      0.4030    80.22%    0.5962   0.001000
    69     85.78%      0.4037    81.65%    0.5558   0.001000
    70     85.82%      0.4056    79.67%    0.6356   0.001000
    71     86.03%      0.4017    78.60%    0.6449   0.001000
    72     86.09%      0.3985    79.95%    0.6519   0.001000
    73     86.17%      0.3990    80.22%    0.5926   0.001000
    74     86.22%      0.3951    81.04%    0.5655   0.001000
    75     86.22%      0.3958    79.82%    0.6415   0.001000
    76     86.05%      0.3974    76.71%    0.7597   0.001000
    77     85.97%      0.4001    81.19%    0.5620   0.001000
    78     86.24%      0.3943    78.63%    0.6750   0.001000
    79     86.04%      0.3999    79.15%    0.6336   0.001000
    80     86.31%      0.3930    77.25%    0.7203   0.001000
    81     86.15%      0.3936    79.35%    0.6183   0.001000
    82     86.28%      0.3925    79.35%    0.6464   0.001000
    83     86.14%      0.3938    81.09%    0.5830   0.001000
    84     86.15%      0.3946    79.62%    0.6357   0.001000
    85     86.24%      0.3904    75.48%    0.7479   0.001000
    86     86.11%      0.3941    77.81%    0.7343   0.001000
    87     86.34%      0.3927    72.39%    0.9309   0.001000
    88     86.44%      0.3893    78.00%    0.6957   0.001000
    89     86.32%      0.3899    79.31%    0.6399   0.001000
    90     86.45%      0.3862    80.51%    0.5947   0.001000
    91     86.52%      0.3881    81.07%    0.5703   0.001000
    92     86.63%      0.3871    74.53%    0.8265   0.001000
    93     86.60%      0.3798    81.15%    0.5718   0.001000
    94     86.57%      0.3826    77.11%    0.7554   0.001000
    95     86.44%      0.3884    79.41%    0.6543   0.001000
    96     86.51%      0.3875    80.41%    0.5997   0.001000
    97     86.78%      0.3861    82.65%    0.5387   0.001000  ← best
    98     86.73%      0.3821    75.20%    0.7996   0.001000
    99     86.44%      0.3847    79.22%    0.6505   0.001000
   100     86.54%      0.3831    78.73%    0.6759   0.001000
   101     86.55%      0.3837    80.60%    0.5966   0.001000
   102     86.65%      0.3803    80.07%    0.5987   0.001000
   103     86.57%      0.3813    78.34%    0.6499   0.001000
   104     86.48%      0.3842    77.99%    0.6948   0.001000
   105     86.70%      0.3825    76.00%    0.7444   0.001000
   106     86.64%      0.3828    78.88%    0.6847   0.001000
   107     86.71%      0.3808    79.31%    0.6452   0.001000
   108     86.85%      0.3768    77.88%    0.7028   0.001000
   109     86.83%      0.3771    78.79%    0.6708   0.001000
   110     86.75%      0.3790    79.26%    0.6623   0.001000
   111     86.77%      0.3756    78.40%    0.6914   0.001000
   112     86.83%      0.3765    78.83%    0.6499   0.001000
   113     86.67%      0.3761    78.79%    0.6554   0.001000
   114     86.58%      0.3807    80.39%    0.6383   0.001000
   115     86.78%      0.3759    77.33%    0.7172   0.001000
   116     86.81%      0.3771    77.32%    0.7367   0.001000
   117     86.93%      0.3749    79.51%    0.6218   0.001000
   118     87.01%      0.3743    77.06%    0.7413   0.001000
   119     87.07%      0.3716    80.48%    0.6071   0.001000
   120     86.59%      0.3771    74.54%    0.8672   0.001000
   121     86.89%      0.3735    76.04%    0.7614   0.001000
   122     86.82%      0.3756    76.61%    0.7699   0.001000
   123     86.92%      0.3699    78.96%    0.6786   0.001000
   124     87.05%      0.3721    80.13%    0.6366   0.001000
   125     86.96%      0.3704    75.45%    0.8147   0.001000
   126     86.96%      0.3704    81.01%    0.5833   0.001000
   127     86.80%      0.3726    72.58%    0.9148   0.001000
   128     86.73%      0.3718    73.70%    0.9185   0.001000
   129     87.32%      0.3690    76.53%    0.7701   0.001000
   130     86.97%      0.3717    79.14%    0.6688   0.001000
   131     87.00%      0.3695    77.54%    0.7016   0.001000
   132     87.16%      0.3652    77.65%    0.7562   0.001000
