======================================================================
RUN      : 8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
OUTPUT   : experiments/8level-weight-ste-noise-layerwise_act-ste_wgt-ste_lr1e-3_nosched_noise-lw-s0.05-l10.025-l20.01-l30.001-130ep
Device   : cuda:2
Start    : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant    : input=True  act=True  weights=True
Grad     : act=ste  weight=ste
Noise    : mode=layerwise  phase=130 epochs
  Stem   : var=0.05   std=0.2236
  Layer1 : var=0.025  std=0.1581
  Layer2 : var=0.01   std=0.1000
  Layer3 : var=0.001  std=0.0316
LR=0.001  Epochs=150  Scheduler=False
Missing keys: 0
======================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
----------------------------------------------------------------------
     1     NOISY     80.48%      0.5589    77.90%    0.6623   0.001000  ← best
     2     NOISY     81.10%      0.5444    77.91%    0.6850   0.001000  ← best
     3     NOISY     81.13%      0.5423    79.34%    0.6339   0.001000  ← best
     4     NOISY     81.47%      0.5297    81.04%    0.5590   0.001000  ← best
     5     NOISY     81.41%      0.5254    80.40%    0.5891   0.001000
     6     NOISY     81.60%      0.5263    78.26%    0.6633   0.001000
     7     NOISY     81.69%      0.5182    80.60%    0.5849   0.001000
     8     NOISY     81.75%      0.5238    78.89%    0.6334   0.001000
     9     NOISY     81.79%      0.5198    80.42%    0.5984   0.001000
    10     NOISY     81.99%      0.5157    79.97%    0.6090   0.001000
    11     NOISY     82.05%      0.5123    79.83%    0.6054   0.001000
    12     NOISY     82.04%      0.5182    81.89%    0.5456   0.001000  ← best
    13     NOISY     82.42%      0.5082    79.92%    0.5970   0.001000
    14     NOISY     82.49%      0.5047    81.00%    0.5668   0.001000
    15     NOISY     82.28%      0.5097    81.70%    0.5494   0.001000
    16     NOISY     82.25%      0.5058    79.94%    0.5973   0.001000
    17     NOISY     82.28%      0.5087    81.34%    0.5630   0.001000
    18     NOISY     82.60%      0.5029    81.15%    0.5765   0.001000
    19     NOISY     82.60%      0.5033    77.21%    0.6814   0.001000
    20     NOISY     82.61%      0.4976    78.56%    0.6335   0.001000
    21     NOISY     82.57%      0.4973    80.41%    0.6105   0.001000
    22     NOISY     82.50%      0.4978    79.31%    0.6409   0.001000
    23     NOISY     82.43%      0.4967    77.17%    0.7116   0.001000
    24     NOISY     82.56%      0.4970    80.90%    0.5688   0.001000
    25     NOISY     82.68%      0.4974    80.28%    0.5738   0.001000
    26     NOISY     82.94%      0.4934    79.77%    0.6063   0.001000
    27     NOISY     82.94%      0.4899    81.82%    0.5510   0.001000
    28     NOISY     82.64%      0.4954    78.40%    0.6619   0.001000
    29     NOISY     82.66%      0.4923    79.40%    0.6143   0.001000
    30     NOISY     82.90%      0.4867    81.66%    0.5370   0.001000
    31     NOISY     82.82%      0.4879    80.69%    0.5726   0.001000
    32     NOISY     83.10%      0.4874    81.94%    0.5243   0.001000  ← best
    33     NOISY     83.13%      0.4855    80.96%    0.5974   0.001000
    34     NOISY     83.07%      0.4826    79.23%    0.6352   0.001000
    35     NOISY     83.23%      0.4806    81.77%    0.5340   0.001000
    36     NOISY     83.05%      0.4819    80.71%    0.5729   0.001000
    37     NOISY     83.24%      0.4799    77.67%    0.6852   0.001000
    38     NOISY     83.30%      0.4809    80.96%    0.5605   0.001000
    39     NOISY     83.21%      0.4782    80.68%    0.6077   0.001000
    40     NOISY     83.05%      0.4858    81.16%    0.5807   0.001000
    41     NOISY     83.07%      0.4774    81.56%    0.5502   0.001000
    42     NOISY     83.36%      0.4775    79.84%    0.6174   0.001000
    43     NOISY     83.31%      0.4806    80.28%    0.6141   0.001000
    44     NOISY     83.41%      0.4760    81.37%    0.5635   0.001000
    45     NOISY     83.30%      0.4784    81.12%    0.5660   0.001000
    46     NOISY     83.34%      0.4748    78.73%    0.6535   0.001000
    47     NOISY     83.26%      0.4753    80.18%    0.5953   0.001000
    48     NOISY     83.46%      0.4742    81.48%    0.5463   0.001000
    49     NOISY     83.49%      0.4712    80.52%    0.5785   0.001000
