=================================================================
RUN    : 8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep
OUTPUT : experiments/8level-weight-ste-noise-var0025_act-ste_wgt-ste_lr1e-3_nosched_noise0.025-130ep
Device : cuda:1
Start  : experiments/8level-weight-ste_act-ste_wgt-ste_lr1e-3_nosched/best_model.pth
Quant  : input=True  act=True  weights=True
Grad   : act=ste  weight=ste
Noise  : variance=0.025  std=0.1581  phase=130 epochs
LR=0.001  Epochs=150  Scheduler=False
Missing keys (new layers): 0
=================================================================
 Epoch     Phase   TrainAcc   TrainLoss    ValAcc   ValLoss         LR
-----------------------------------------------------------------
     1     NOISY     76.23%      0.6815    79.56%    0.6259   0.001000  ← best
     2     NOISY     77.16%      0.6513    79.63%    0.5856   0.001000  ← best
     3     NOISY     77.26%      0.6457    80.30%    0.5994   0.001000  ← best
     4     NOISY     77.74%      0.6358    81.92%    0.5434   0.001000  ← best
     5     NOISY     78.00%      0.6282    78.47%    0.6773   0.001000
     6     NOISY     78.32%      0.6192    80.67%    0.5767   0.001000
     7     NOISY     78.06%      0.6258    78.72%    0.6402   0.001000
     8     NOISY     78.30%      0.6196    81.21%    0.5625   0.001000
     9     NOISY     78.44%      0.6147    81.76%    0.5416   0.001000
    10     NOISY     78.68%      0.6114    78.78%    0.6289   0.001000
    11     NOISY     78.75%      0.6093    79.65%    0.6090   0.001000
    12     NOISY     78.83%      0.6093    80.77%    0.5637   0.001000
    13     NOISY     78.92%      0.6034    78.16%    0.6711   0.001000
    14     NOISY     79.09%      0.5983    80.00%    0.5822   0.001000
    15     NOISY     78.93%      0.6001    79.49%    0.6059   0.001000
    16     NOISY     79.36%      0.5906    79.69%    0.6098   0.001000
    17     NOISY     79.43%      0.5878    80.23%    0.5930   0.001000
    18     NOISY     79.35%      0.5951    81.48%    0.5493   0.001000
    19     NOISY     79.47%      0.5902    82.21%    0.5327   0.001000  ← best
    20     NOISY     79.38%      0.5871    79.52%    0.6063   0.001000
    21     NOISY     79.32%      0.5915    80.99%    0.5661   0.001000
    22     NOISY     79.58%      0.5826    80.68%    0.5873   0.001000
    23     NOISY     79.61%      0.5858    81.70%    0.5383   0.001000
    24     NOISY     79.51%      0.5879    80.53%    0.5688   0.001000
    25     NOISY     79.86%      0.5797    80.27%    0.5921   0.001000
    26     NOISY     79.78%      0.5851    79.84%    0.5991   0.001000
    27     NOISY     79.80%      0.5766    79.46%    0.6030   0.001000
    28     NOISY     79.95%      0.5782    81.21%    0.5673   0.001000
    29     NOISY     79.89%      0.5732    79.63%    0.6074   0.001000
    30     NOISY     79.73%      0.5768    78.97%    0.6236   0.001000
    31     NOISY     79.83%      0.5765    81.23%    0.5724   0.001000
